COST,cost,S_COST,s_cost
12.4094,11.5112,12.4094,11.5112
8.5155,7.9734,8.5155,7.9734
8.0,8.1931,8.0,8.1931
7.9274,8.305,7.9274,8.305
7.7851,7.8646,7.7851,7.8646
7.6063,8.389,7.6063,8.389
7.8456,7.703,7.8456,7.703
7.4815,7.6599,7.4815,7.6599
7.446,7.3512,7.446,7.3512
7.4257,7.6338,7.4257,7.6338
7.3268,7.6837,7.3268,7.6837
7.182,7.9858,7.182,7.9858
12.2637,9.1668,12.2637,9.1668
8.6172,7.8731,8.6172,7.8731
7.9885,8.1142,7.9885,8.1142
7.9653,7.6655,7.9653,7.6655
7.8259,7.2245,7.8259,7.2245
7.7098,7.5601,7.7098,7.5601
7.4834,7.5344,7.4834,7.5344
7.5519,7.4517,7.5519,7.4517
7.3034,7.2098,7.3034,7.2098
7.436,7.2833,7.436,7.2833
7.4515,7.5398,7.4515,7.5398
7.2657,7.2183,7.2657,7.2183
12.5062,8.4464,12.5062,8.4464
8.5959,7.9697,8.5959,7.9697
7.8873,11.3938,7.8873,11.3938
7.7013,8.2011,7.7013,8.2011
8.0244,9.4796,8.0244,9.4796
7.5644,7.4601,7.5644,7.4601
7.4128,8.3712,7.4128,8.3712
7.4678,7.3734,7.4678,7.3734
7.4658,7.2839,7.4658,7.2839
7.3699,7.5314,7.3699,7.5314
7.319,7.3319,7.319,7.3319
7.198,7.3494,7.198,7.3494
12.5305,10.048,12.5305,10.048
8.8029,8.2045,8.8029,8.2045
8.134,9.4889,8.134,9.4889
8.0299,8.5287,8.0299,8.5287
7.9409,7.6709,7.9409,7.6709
7.8598,7.5209,7.8598,7.5209
7.6969,8.4402,7.6969,8.4402
7.6759,8.3219,7.6759,8.3219
7.3469,7.3869,7.3469,7.3869
7.4704,7.0483,7.4704,7.0483
7.4826,7.9597,7.4826,7.9597
7.3706,7.0417,7.3706,7.0417
