ID,filename,extent,growth_stage_F,growth_stage_M,growth_stage_S,growth_stage_V,damage_DR,damage_DS,damage_FD,damage_G,damage_ND,damage_PS,damage_WD,damage_WN,season_LR2020,season_LR2021,season_SR2020,season_SR2021
ID_32FVHH63Q4,L354F03936C39S00000Ip.jpg,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
ID_4VBFAMSCW2,L1155F04257C01S07220Rp19973.jpg,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
ID_OOWUQ6RSU2,6_repeat_2_1620_4449_2918.JPG,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
ID_THHAZRIFTE,23_repeat_2_1262_4184_2764.JPG,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
ID_BJQLC4E4MP,L1148F02578C01S05652Rp03715.jpg,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
ID_TEKASH3ZIH,L435F01653C41S12527Rp42164.jpg,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
ID_1GXW4XMFPJ,L134F00879C39S14248Rp48356.jpg,70,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
ID_N42QP27PNA,L378F02089C39S12356Rp39316.jpg,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
ID_F5W10QUXXS,L365F03524C01S01271Rp14161.jpg,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
ID_RTW0SLFYTM,L428F00499C39S14009Dp44924.jpg,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
ID_TY6N0Y3AZV,L1089F01682C01S08539Rp15824.jpg,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ID_TYF99LP1JL,L332F03054C01S00452Rp03689.jpg,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
ID_F6HZ9590GX,L1153F02846C01S00533Rp00553.jpg,10,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
ID_SR2JBGBHWZ,L1116F01905C01S08855Rp23209.jpg,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
ID_Z8QVXH1F6O,L398F03408C39S14235Rp36676.jpg,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
ID_RFKGZDVX88,L141F01479C01S07160Rp22635.jpg,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ID_6DHK0AQRP1,L134F00851C01S09703Rp25744.jpg,40,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
ID_DTFD1P5A9T,L232F00250C03S07421Rp26044.jpg,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ID_OHUDAMHDGJ,L221F01487C01S08480Rp17993.jpg,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
ID_E67KZ569NW,203_repeat_2_1377_335_239.JPG,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
ID_Q21DXC29SP,L435F00277C01S01894Rp14243.jpg,90,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
ID_KWL9J3CPA0,L1122F04424C39S11774Rp32854.jpg,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
ID_MINTYRXNR2,L222F01624C39S12794Rp42303.jpg,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
ID_A9KSHLE4BH,L124F02764C01S09407Rp20126.jpg,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ID_3643S154RP,L371F04400C01S09860Rp22435.jpg,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
ID_GMCUA6AA7D,L341F00544C01S00346Rp01627.jpg,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
ID_6UC8B3ACAH,L122F00610C39S13857Rp33882.jpg,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
ID_B3W4VM37TM,L222F03584C39S13991Rp38944.jpg,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
ID_NEG4K3GID3,L426F00211C39S14975Rp45834.jpg,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
ID_48A30TN2UL,L1094F02172C39S11573Rp41849.jpg,60,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
ID_OT25Z7XZML,L376F03290C01S07152Rp21691.jpg,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
ID_KB1RBC95HS,L1094F03591C01S07735Rp18290.jpg,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
ID_RMZRCGSH8L,L121F02106C01S01464Rp08866.jpg,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
ID_1G0EV8AWAL,L365F01284C01S09133Rp19214.jpg,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
ID_1YBO7089NW,L1093F00908C01S06770Rp27633.jpg,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
