ID,filename,extent,growth_stage_F,growth_stage_M,growth_stage_S,growth_stage_V,damage_DR,damage_DS,damage_G,damage_ND,damage_PS,damage_WD,season_LR2020,season_LR2021,season_SR2020,season_SR2021
ID_3A0DMDOXYX,L134F04020C01S02985Rp13608.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ID_B5NCRCYF5A,L1084F02324C39S13930Rp33526.jpg,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
ID_638ZCPNOSD,229_repeat_2_2061_6414_4780.JPG,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
ID_68ZI21U999,L1094F00039C01S07300Rp31223.jpg,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
ID_862T5LSVYJ,L1083F01650C01S00279Rp07268.jpg,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
ID_8LE81WG8WL,L222F03358C01S03325Rp10820.jpg,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
ID_X6R01Q945R,158_repeat_2_1490_5952_4295.JPG,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
ID_NTGDRG0F9P,L325F03612C01S00683Rp13323.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ID_FUUYP5QX3S,L331F02028C39S13895Rp34767.jpg,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
ID_73VX2RNDKY,L332F00162C39S12299Rp37274.jpg,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
ID_L2VRV98QM3,L410F01562C01S02763Rp13763.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ID_WN5UW8OP14,L124F00335C01S00117Rp14689.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ID_KS27UTGVZV,L134F04018C01S10517Rp26090.jpg,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
ID_YHNLZZRDIL,L134F00852C01S06933Rp16158.jpg,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
ID_1HAOC5SR9W,L435F03377C01S01968Rp14260.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
ID_BJYU6IRZ6X,L325F03380C39S12197Rp48574.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
ID_TWFLJTLDQ6,L134F00794C39S14178Rp45996.jpg,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
ID_6T9QIB9P61,L144F01527C39S12559Ip.jpg,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
ID_DPLDZ18MOP,L1130F00057C01S08015Rp27130.jpg,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
ID_H42A1RP93P,64_repeat_2_1618_5249_3607.JPG,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
ID_OBDCYFGKOV,L134F00875C01S01078Rp01371.jpg,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
ID_GT9N4WZ0FQ,211_repeat_2_1076_5303_3670.JPG,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
