label,extent,growth_stage,season,damage,address,ID
0,0,S,SR2020,WD,0/l427f01330c01s03961rp02052.png,ID_1S8OOWQYCB
0,0,V,SR2021,G,0/l1083f00930c39s12674ip.png,ID_0MD959MIZ0
0,0,V,LR2020,G,0/24_initial_1_1463_1463.png,ID_JRJCI4Q11V
1,60,M,SR2020,DR,1/l341f00167c01s00324rp14178.png,ID_DBO3ZGI1GM
0,0,V,SR2021,G,0/l1084f02394c39s13931ip.png,ID_ORZLWTEUUS
0,0,F,LR2021,G,0/l361f02347c01s10018rp27925.png,ID_84VIVATWWN
0,0,M,LR2021,WD,0/l1122f02114c01s09921rp29452.png,ID_KQ0BOCK45L
0,0,M,LR2021,G,0/l321f03728c01s07028rp24013.png,ID_6OZCWQEE15
1,40,M,LR2021,DR,1/l331f04678c01s11060rp30683.png,ID_BVNP8C4M1N
1,60,F,LR2021,DR,1/l133f00737c01s06945rp25674.png,ID_MFL3FVUKDA
0,0,S,SR2021,G,0/l231f02301c41s13792rp36019.png,ID_BTT2F7XZSR
0,0,M,LR2021,WD,0/l141f00095c01s07755rp23002.png,ID_2YWX4FA7MX
0,0,S,SR2021,G,0/l415f01160c39s14146rp41363.png,ID_YBE047NM5J
0,0,S,LR2021,WD,0/l426f04418c01s09360rp20052.png,ID_NIHPEAL41C
0,0,M,SR2020,WD,0/l1084f02394c01s03378rp09620.png,ID_3L3R8NZ255
0,0,V,SR2021,WD,0/l354f03984c39s13380ip.png,ID_3UMLHKBER4
0,0,V,SR2021,G,0/l125f00650c01s13584rp40732.png,ID_TMBUJ1249I
0,0,V,SR2021,G,0/l121f02771c39s12919rp34790.png,ID_A366UY0TXB
0,0,V,LR2021,WD,0/l325f01429c01s07301rp19436.png,ID_2KE5G1AEPW
1,20,M,SR2020,DR,1/l432f01720c01s04931rp13768.png,ID_NFYJ8T2V5W
0,0,V,LR2021,G,0/l121f00604c01s09000rp18923.png,ID_XMJRS05OHL
0,0,V,SR2020,WD,0/l315f03220c01s02273rp03569.png,ID_AM5SCPZ6MC
0,0,M,SR2020,ND,0/l314f00138c01s03486rp14927.png,ID_2JB596JG4B
1,50,M,SR2020,DR,1/l133f03014c01s00293rp10017.png,ID_C74KHW4OK5
1,50,M,SR2020,DR,1/l398f00102c01s01131rp13276.png,ID_BDV1VQRJAS
0,0,V,SR2021,G,0/l1094f01464c39s11542rp32689.png,ID_1C64A2QUB7
0,0,S,LR2021,WD,0/l242f01471c03s08179rp15549.png,ID_1W714YTQHJ
0,0,V,SR2020,G,0/l332f03390c01s00334rp07705.png,ID_LDLA70LT0P
0,0,F,LR2020,G,0/217_repeat_2_2052_1319_1028.png,ID_R4UOB7UH8A
1,30,V,LR2021,DR,1/l134f00780c01s09773rp27555.png,ID_8CGJ7AF96E
0,0,S,SR2021,WD,0/l406f00362c01s14389rp40939.png,ID_CH0LTBRYQ9
0,0,F,SR2020,G,0/l121f00577c01s04002rp08500.png,ID_EBEUICD7T6
0,0,M,SR2021,G,0/l1093f01115c39s11718rp41966.png,ID_6SW7T0XML8
0,0,V,SR2021,G,0/l231f02008c41s13013rp39518.png,ID_CQ6UMW5O5P
0,0,M,SR2021,WD,0/l311f00639c39s13098rp38984.png,ID_8QR67X2MAZ
0,0,M,SR2021,G,0/l354f03988c39s13314rp48879.png,ID_H7WP5F73MX
0,0,M,SR2021,G,0/l1133f01269c39s12415rp40060.png,ID_8YKRVXU2QG
0,0,M,LR2021,G,0/l1093f03320c01s06792rp29181.png,ID_LMMSGLQ5OA
0,0,V,SR2020,WD,0/l134f00875c01s01078rp01371.png,ID_OBDCYFGKOV
0,0,F,SR2020,G,0/l331f04174c01s04288rp03813.png,ID_JY5CK3CKHC
0,0,V,SR2021,G,0/l435f02450c41s14776rp42988.png,ID_IY69LR4T9F
1,70,M,SR2020,DR,1/l134f00762c01s05370rp14099.png,ID_L3YYRSTAP8
0,0,M,LR2020,ND,0/70_repeat_2_2055_5456_3839.png,ID_ML9H1WD4MI
1,40,M,SR2021,DR,1/l1094f03163c39s11589rp41682.png,ID_53R92CXW1E
0,0,F,SR2021,G,0/l1083f00308c39s12945rp35789.png,ID_PESM2JQB41
0,0,F,LR2021,WD,0/l134f04228c01s09707rp19925.png,ID_Q2QX46E1OO
0,0,M,SR2021,WD,0/l1144f04460c39s12064rp34619.png,ID_FP4FR9WQHS
0,0,V,SR2020,WD,0/l121f01775c01s02440ip.png,ID_8DNRQEFO0Z
0,0,V,LR2021,G,0/l406f04313c01s07770rp18436.png,ID_JG9SSHONX5
0,0,V,SR2021,WD,0/l376f01092c39s14511rp44384.png,ID_ZWT6CO29RY
0,0,F,LR2021,G,0/l361f03008c01s09322rp29381.png,ID_LND5KLZIEQ
0,0,V,LR2021,WD,0/l222f03245c01s06833rp17247.png,ID_H7T4EV6OZ3
0,0,M,LR2020,DS,0/222_repeat_2_1817_5416_3797.png,ID_FFAEFKTS1Z
0,0,V,LR2021,G,0/l354f03934c01s09629rp16980.png,ID_9UDUWUS0YW
0,0,S,SR2021,G,0/l361f03008c39s14445rp35367.png,ID_RJOBOZW38H
0,0,F,LR2021,WD,0/l144f01423c01s08606rp21963.png,ID_INRA754U4K
0,0,F,SR2021,WD,0/l134f00875c39s14272rp43033.png,ID_WMM1Q4Q96A
1,10,M,LR2021,DR,1/l1089f03143c01s08323rp30596.png,ID_PGRVYINBAY
1,30,M,SR2021,DR,1/l1136f02414c39s11646rp36950.png,ID_C0Q01LUY08
0,0,V,SR2020,WD,0/l354f00387c01s02826rp01648.png,ID_V41ZVA5SNT
1,20,M,LR2021,DR,1/l141f01256c01s08622rp29455.png,ID_8VIMJHT6ZO
0,0,S,SR2021,G,0/l376f01618c39s12388rp34959.png,ID_UI5HIYQP2H
1,20,F,LR2021,DR,1/l406f01517c01s08370rp27460.png,ID_53RI8GSN1K
0,0,M,SR2021,G,0/l222f02261c39s13996rp42427.png,ID_QC6RBQ99MW
0,0,F,SR2021,G,0/l1116f03574c39s12546rp39447.png,ID_6WKME28IID
0,0,V,LR2021,WD,0/l365f00189c01s09121rp24560.png,ID_UEN1II4UZM
0,0,F,LR2021,G,0/l121f02084c01s06857rp23829.png,ID_QC31ODGOWZ
0,0,V,LR2021,WD,0/l1142f00043c20s10663rp17811.png,ID_E8M2WTXQH8
0,0,V,SR2021,WD,0/l1094f00929c39s11583ip.png,ID_XTZVKPR376
0,0,F,SR2020,G,0/l144f00098c01s01085rp08826.png,ID_I5FXJLW2FO
0,0,M,LR2020,DS,0/188_repeat_2_1470_5925_4270.png,ID_PIUXC6KUVO
0,0,M,LR2021,G,0/l1094f04314c01s07058rp31680.png,ID_J45PXBSPNP
0,0,V,SR2021,G,0/l131f03897c41s12734rp43021.png,ID_XHKPP0DQPF
1,50,F,SR2021,DR,1/l1153f04303c39s11884rp40163.png,ID_RGAOGKO8US
1,30,M,SR2021,DR,1/l1094f01748c39s11585rp41669.png,ID_P32U5VMIB6
0,0,M,LR2021,G,0/l341f01510c01s06871rp26345.png,ID_AI56T5R7WE
0,0,V,LR2021,G,0/l134f00749c01s07411rp16240.png,ID_VGVXJOHYGO
0,0,V,LR2021,WD,0/l429f04542c01s07310rp16692.png,ID_MGQV0IYC4M
0,0,M,LR2021,G,0/l121f01244c01s07151rp28708.png,ID_C452WW8CL2
0,0,F,SR2020,WD,0/l314f03155c01s04397rp06192.png,ID_9GTMXAK5XI
0,0,V,SR2020,WD,0/l134f04019c01s05264ip.png,ID_7TSC30U6IS
0,0,V,LR2021,G,0/l1125f01747c01s09378rp22272.png,ID_DMDAWVPDZ0
0,0,S,SR2021,G,0/l144f01202c39s12513ip.png,ID_D2MV7Y2MN3
0,0,F,SR2021,G,0/l1150f01773c39s12209rp34532.png,ID_EW6KBALGJ6
1,10,M,LR2020,DR,1/201_repeat_2_1382_6311_4680.png,ID_XDXII5MWL0
0,0,F,SR2020,G,0/l331f04183c01s04229rp05703.png,ID_20Z7EE45MG
0,0,F,SR2020,G,0/l121f00594c01s04301rp10846.png,ID_PJ46AM23EA
0,0,V,SR2021,G,0/l371f01132c39s13703rp47194.png,ID_9GEP66GASZ
