ID,filename,extent,growth_stage_F,growth_stage_M,growth_stage_S,growth_stage_V,damage_DR,damage_DS,damage_FD,damage_G,damage_ND,damage_PS,damage_WD,damage_WN,season_LR2020,season_LR2021,season_SR2020,season_SR2021
ID_WA7EYGZJQU,L341F02718C39S13264Rp40685.jpg,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
ID_B0RR1I1AK3,L331F04674C39S14126Ip.jpg,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
ID_575IM4URKD,L124F01477C01S01927Rp02821.jpg,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
ID_D79K2E9SND,L144F02000C01S01089Rp14714.jpg,90,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
ID_SDNOZPFRLT,L1083F00026C01S08099Rp28509.jpg,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
ID_COG9E2GG12,L415F04509C01S08017Rp18845.jpg,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
ID_ARMA5UJ4N1,L365F03524C01S09126Rp24568.jpg,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
ID_6U1Y4N2H7Y,L221F02010C39S13400Rp43897.jpg,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
ID_ANOF1QVBSM,L354F03992C39S13536Rp48485.jpg,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
ID_5G798IW6L5,L1153F03614C01S01610Rp02837.jpg,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
ID_N0V00GYD2Y,L341F02738C01S00942Rp05324.jpg,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
ID_FIXLMYYVX7,L134F00872C39S14245Rp34723.jpg,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
ID_E6BMCM788A,L1122F00068C39S11606Ip.jpg,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
ID_L0HFMSVH03,L1102F01698C01S08164Rp18369.jpg,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
