ID,filename,extent,growth_stage_F,growth_stage_M,growth_stage_S,growth_stage_V,damage_DR,damage_DS,damage_FD,damage_G,damage_ND,damage_PS,damage_WD,damage_WN,season_LR2020,season_LR2021,season_SR2020,season_SR2021
ID_GIH32N24X3,L1131F00067C01S09152Rp27348.jpg,10,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
ID_M45NEP6WRG,L1125F01702C01S06794Rp15541.jpg,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ID_QB1XD7MYWE,L435F01653C41S12527Rp46904.jpg,40,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
ID_NTNR97ULUQ,L435F01105C01S07918Rp19191.jpg,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
ID_UR6VY9RB2E,L242F04033C41S14342Ip.jpg,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
ID_BZD2393WGP,L1122F04425C42S11604Rp39783.jpg,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
ID_ZOSOLA50BL,L325F01048C01S07004Rp29964.jpg,40,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
ID_TXFLO0E6BL,L1155F04250C39S11973Rp41449.jpg,30,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
ID_F01A14CST3,62_initial_1_3342_3342.JPG,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
ID_IF80EAM7UB,L405F02052C01S08309Rp18662.jpg,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
ID_KGL8SEBXNE,L331F04162C01S07817Rp27668.jpg,50,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
ID_7FGGWWR7H3,L415F00217C01S00164Rp07953.jpg,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
ID_S3WE7H0588,L144F03571C39S12864Rp39371.jpg,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
ID_8RX0Y295TV,87_repeat_2_2211_3499_2244.JPG,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
ID_50GB1G1YJA,L1139F02670C39S11990Rp38026.jpg,20,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
ID_IJA0WUNUXN,L341F01426C01S06870Rp27282.jpg,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ID_NFSYICQRVN,L133F01013C01S05456Rp06211.jpg,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
ID_MCUW2SSUC8,L406F04309C39S13184Rp34474.jpg,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
ID_K5GNZPQ3P7,L1155F04256C39S11631Rp35581.jpg,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
ID_15RPXJV4MF,L415F04501C39S12605Ip.jpg,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
ID_D5L0Z0KI9U,L133F00691C39S13658Rp46898.jpg,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
ID_5G798IW6L5,L1153F03614C01S01610Rp02837.jpg,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
ID_0ZQU89BAM0,L415F01615C01S04490Rp11464.jpg,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
ID_6X3TD6J15N,L376F02050C03S07052Rp25740.jpg,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ID_SX10UHS2LU,L121F00584C01S04024Rp14032.jpg,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
ID_9YTRPVPY7O,L325F03081C39S12249Rp35041.jpg,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
ID_2GHR0O7Q82,L354F00181C01S00963Rp13872.jpg,90,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
ID_6R8EAT1XKH,L323F02382C01S01274Rp00522.jpg,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
ID_L6SN812G21,L341F03463C01S08085Rp22993.jpg,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
ID_EBJOZGAHL9,L121F00595C01S04302Rp13387.jpg,10,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
ID_0HA6DFZF9V,L361F02614C01S04742Rp10708.jpg,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
ID_0VO5CHMTIC,L1084F02364C01S07488Rp20556.jpg,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
ID_R5I3XUTNJQ,L341F00168C03S09681Rp16644.jpg,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
ID_DTRVBWYJY6,L222F01199C01S02989Rp02896.jpg,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
ID_D79K2E9SND,L144F02000C01S01089Rp14714.jpg,90,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
ID_9TD4VVCFLD,L1102F01304C01S08499Rp20194.jpg,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
ID_3ZWSLSF1HU,L323F03019C01S07945Rp22595.jpg,10,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
ID_BCZ8HIRU4C,L323F03352C01S03113Rp05350.jpg,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
ID_YV5EC1VFBI,L124F00641C01S00128Rp11709.jpg,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
ID_WFJZQ30FGS,L398F03176C01S02407Ip.jpg,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
ID_AXF0DQWVNN,L221F00235C39S14761Ip.jpg,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
ID_PJZJJEWD5N,90_repeat_2_1187_5983_4341.JPG,10,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
ID_PIXHFJLWP3,L371F00920C39S13712Rp43210.jpg,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
ID_G1QP4N42JY,L429F04542C39S13970Rp48013.jpg,80,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
ID_LEE5RWUMLH,L1089F01289C39S11743Ip.jpg,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
ID_YOWPDX75F6,L1116F02202C39S11856Rp33052.jpg,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
ID_TV5AEQZWE2,L133F00494C39S14337Rp46207.jpg,20,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
ID_MHS3YYN710,L1153F04301C39S11879Rp32602.jpg,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
ID_XEDD2PNJ8A,L1149F00980C39S12364Rp38429.jpg,30,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
ID_83936UUAWJ,234_repeat_2_1153_5840_4221.JPG,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
ID_P5KGH9SYS1,L341F01861C01S00985Rp01612.jpg,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
ID_90FDCS9B5B,L365F00490C39S12458Rp41502.jpg,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
ID_68YDAKKFJS,206_repeat_2_2370_5314_3674.JPG,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
ID_5P9FKCK8AW,L398F02242C01S09182Rp18825.jpg,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
