ID,filename,extent,growth_stage_F,growth_stage_M,growth_stage_S,growth_stage_V,damage_DR,damage_DS,damage_FD,damage_G,damage_ND,damage_PS,damage_WD,damage_WN,season_LR2020,season_LR2021,season_SR2020,season_SR2021
ID_H716O93GCT,L1127F02097C01S08205Rp15801.jpg,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
ID_5FFBDG9ZDS,L341F01802C01S00403Ip.jpg,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
ID_3DA1EVEWY1,L406F01761C01S10340Rp27463.jpg,30,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
ID_9Z57XKC8JF,L1132F00064C01S07518Rp29800.jpg,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
ID_0ZJOFXUSKF,L342F02127C01S03418Rp13567.jpg,90,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
ID_J76H7WJ1EF,21_repeat_2_1356_1623_1210.JPG,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
ID_8MYVJR8ZR3,L141F01256C39S14076Rp40874.jpg,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
ID_OSYRJQ577V,L354F02256C01S03049Rp04990.jpg,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
ID_VEMZN6OHVB,L144F01081C39S12855Rp45524.jpg,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
ID_TO5JGNL7HP,L1116F02814C01S08850Rp27515.jpg,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ID_5TN650742C,L243F04637C41S12218Rp47040.jpg,50,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
ID_YAM93R9MRR,L326F01694C01S01999Rp05433.jpg,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
ID_NGA309KAGZ,L341F03604C01S00710Rp13957.jpg,80,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
ID_BX6K9GGD4T,L1122F01513C39S12130Rp42200.jpg,50,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
ID_EVCEYJMXCJ,L354F03995C39S13538Rp48788.jpg,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
ID_17MUT8QAM7,L331F00160C01S05377Rp07596.jpg,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
ID_7PDBXKLX1T,L121F03175C01S07319Rp18072.jpg,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
ID_TV488IHBXK,L323F00910C01S00424Ip.jpg,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
ID_ML0UR8YFLT,L1094F04308C39S11648Rp40913.jpg,30,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
ID_U4OGT7N3RY,L1136F03417C01S01493Rp04953.jpg,60,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
ID_0JTLM4VBMW,L1116F01189C01S09050Rp23085.jpg,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
ID_ES89U0K1I4,146_repeat_2_1142_4575_2963.JPG,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
ID_U9SUW955DM,L406F00105C01S08369Rp18462.jpg,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
ID_H9HQRWVOM5,L365F02621C39S12582Rp47181.jpg,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
ID_TI39BU05MJ,L426F02817C03S09912Rp23181.jpg,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ID_BF3WC7CRHD,L1122F00055C01S04555Rp03084.jpg,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
ID_VQ9RAQPS8Z,L1089F00507C01S00298Rp04275.jpg,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
ID_SYBXY61H77,L1093F01337C01S07472Rp15883.jpg,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
ID_R1TLRZ9W1H,L410F01795C39S12338Rp32927.jpg,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
ID_F737LWYWXB,L325F01619C39S12180Rp45995.jpg,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
ID_XIYFFD6KW8,L1122F03429C01S10006Rp30165.jpg,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ID_8O6KEMU0CE,L1093F01908C39S11626Rp41079.jpg,60,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
ID_GZYNUGJ1HA,L122F01212C01S02643Rp05858.jpg,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
ID_NW2KR7VBHF,L1144F04438C39S12070Rp40039.jpg,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
ID_VRXPFRG6Q6,L144F02958C01S08709Rp20736.jpg,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ID_4KVIGMUXVG,L1133F02816C01S08040Rp16947.jpg,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
ID_7RTEF42YJV,L321F01942C42S13066Ip.jpg,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
ID_542S43YTRA,L1094F01340C01S00481Rp06845.jpg,40,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
ID_4DZVTXG1ZH,L1116F01994C39S12228Ip.jpg,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
ID_5YLXN38G39,L341F02705C01S06882Rp27295.jpg,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
ID_8P4LRCFLNA,28_repeat_2_1041_3250_2086.JPG,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
ID_8RPHKC9762,L435F02073C03S10223Rp21268.jpg,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
ID_RCOSP88B4K,L1122F02857C01S09402Rp28254.jpg,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ID_MTYG1KX8DB,L361F03428C39S13044Rp39748.jpg,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
ID_1QHWODUQN2,L221F00511C01S03343Rp10476.jpg,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
ID_4KAFYZQNG9,L131F03899C01S01625Rp12521.jpg,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
ID_B3RVH3J8XR,23_repeat_2_2260_6161_4524.JPG,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
ID_MO3G6JXX2R,L365F01070C39S12464Rp48811.jpg,20,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
ID_4Z6J8IA39K,L231F02385C40S13618Rp36517.jpg,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
ID_KXPG5LQNA8,L429F02733C39S13587Rp46344.jpg,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
ID_U2DC06NLXW,L134F00089C01S07195Rp29629.jpg,40,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
ID_FYK2DR5KAW,L134F00775C01S09775Rp23968.jpg,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
ID_QLD1J6TCDY,L141F01953C01S01679Rp01253.jpg,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
ID_AP1O6Y4ZJ6,L124F01249C01S00537Rp13681.jpg,40,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
ID_95DQU3JZL7,L1089F01687C01S09624Rp20588.jpg,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
ID_WUOXPOJSQX,L315F04049C01S01669Rp09174.jpg,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
ID_TDI1SY4STU,L311F00568C01S09245Rp19087.jpg,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
