ID,filename,extent,growth_stage_F,growth_stage_M,growth_stage_S,growth_stage_V,damage_DR,damage_DS,damage_FD,damage_G,damage_ND,damage_PS,damage_WD,damage_WN,season_LR2020,season_LR2021,season_SR2020,season_SR2021
ID_SL28W0PIZ2,L435F02450C41S14776Ip.jpg,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
ID_D2JIF7ZZ37,L1153F03241C01S03790Rp03791.jpg,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
ID_2CAVJAGYVJ,L406F04333C01S07782Rp21535.jpg,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ID_7A36Y4EI4I,L341F00432C39S12269Ip.jpg,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
ID_JXSY9H3I62,L1136F03296C01S09382Rp25477.jpg,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
ID_YYGN3LHHN3,L315F00141C39S13351Rp46156.jpg,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
ID_40D7QOOIH2,L124F00332C01S00244Rp10680.jpg,20,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
ID_S8UC405SHS,L133F01358C01S07889Rp22469.jpg,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
ID_3WZO55QEQ4,L341F00544C39S12271Rp43127.jpg,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
ID_DL3FW05Z8L,L331F04053C39S14002Rp40911.jpg,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
ID_L56AQDUO8N,18_repeat_2_1362_4400_2875.JPG,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
ID_LZ7ZHUJPX5,92_repeat_2_1255_4041_2610.JPG,50,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
ID_6XZAJHIXJN,L361F02341C01S07849Rp23415.jpg,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
ID_ITH6H69PFB,L222F03216C39S14648Rp34489.jpg,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
ID_YHT1XBSUZ0,L134F00845C01S10510Rp26099.jpg,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
ID_47FJT7RN5P,L323F00907C01S07702Rp27150.jpg,20,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
ID_F17XIBRE2O,L144F02328C01S01410Ip.jpg,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
ID_MTZTZ1TMS5,L325F01429C01S00525Rp14948.jpg,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
ID_0DP4SIGM16,L133F00529C01S02751Rp09005.jpg,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
ID_AX50800ZBN,L222F03122C01S03014Rp06801.jpg,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
ID_YAICQ2Y3HU,L406F04352C20S11184Rp31235.jpg,60,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
ID_E8MW80WDKC,L326F01270C01S02202Ip.jpg,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
ID_VMM35Q7DZN,157_repeat_2_1279_2701_1698.JPG,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
ID_FNHEFQ2Z09,L332F03487C01S00352Rp12433.jpg,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
ID_W8US1KB9IA,L1089F00425C01S00751Rp07822.jpg,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
ID_350R28PIXH,201_repeat_2_1461_5782_4157.JPG,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
ID_LND5KLZIEQ,L361F03008C01S09322Rp29381.jpg,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ID_PACV762DP6,L1146F02983C39S14996Ip.jpg,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
ID_5IZBRDVE3E,L342F02109C01S03391Rp13549.jpg,80,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
ID_706JT0DHQZ,L1144F04457C01S09226Rp24443.jpg,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
ID_19OOGDSMWL,L1116F02814C01S03185Ip.jpg,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
ID_RJUM5PSNLD,L1084F00438C01S07650Rp16983.jpg,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
ID_E1FNWTEB79,L144F02132C03S08768Rp19944.jpg,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
ID_Y1WR3Y8PCH,206_repeat_2_2370_3935_2511.JPG,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
ID_JJNB7C2BET,148_repeat_2_2060_6320_4693.JPG,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
ID_51TLDZSJ70,L342F02118C01S07844Rp24871.jpg,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ID_0ZVHHU5UJE,L1130F01973C39S12504Rp38132.jpg,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
ID_4CB2736HMW,L354F01914C01S03048Rp04989.jpg,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
ID_VL7BPH6BMO,L1131F04389C01S09612Rp16440.jpg,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ID_K6HQBWNJ2O,L315F03922C01S07590Rp17976.jpg,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ID_GGYH1B1JO6,L222F01493C01S06823Rp20516.jpg,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ID_F0UKTQY414,L134F00780C39S14177Rp41137.jpg,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
ID_PFA05CJZBX,L361F02341C01S07849Rp31659.jpg,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ID_6447ID6QG1,L398F02597C39S12758Rp39572.jpg,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
ID_TVIWFG41X9,L435F03160C41S12405Rp42283.jpg,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
ID_7CU40NGFFE,L1137F00044C02S10121Rp22796.jpg,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
ID_KKUGP2O8SG,L1089F02579C39S11959Ip.jpg,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
ID_WP4WUCWM07,230_repeat_2_1855_6368_4738.JPG,70,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
ID_MFY7XGQVHB,L134F00787C01S02724Rp08086.jpg,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
ID_1VXJS03ZK6,L1125F00443C01S08809Rp22258.jpg,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
