ID,filename,extent,growth_stage_F,growth_stage_M,growth_stage_S,growth_stage_V,damage_DR,damage_DS,damage_FD,damage_G,damage_ND,damage_PS,damage_WD,damage_WN,season_LR2020,season_LR2021,season_SR2020,season_SR2021
ID_RRKQFQHUOC,L122F00642C01S07922Rp21981.jpg,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
ID_6DFEFEYPTR,L331F04171C01S04113Rp10448.jpg,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
ID_4MCJT4FF8D,234_repeat_2_1153_5451_3834.JPG,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
ID_XY34CO05HJ,L141F00095C01S01267Rp13888.jpg,90,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
ID_Y007TQMHMQ,L436F01332C01S02392Rp08874.jpg,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
ID_2WIGAB5RUZ,184_initial_1_1054_1054.JPG,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
ID_0XNOMSY11L,L221F03319C39S14770Rp38917.jpg,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
ID_TBHVVEXD0Z,L131F03895C01S01630Rp02857.jpg,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
ID_E195X4OIAI,L325F00525C39S12927Rp37717.jpg,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
ID_1T86ZRGP33,L144F03153C01S00171Rp10046.jpg,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
ID_E6BMCM788A,L1122F00068C39S11606Ip.jpg,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
ID_JAQUYRWAND,L125F01025C01S13586Rp48755.jpg,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
ID_C32VDDE0HV,L134F00875C01S06932Rp16157.jpg,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
ID_EV95DXJ3ZG,L141F02777C39S12562Rp42324.jpg,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
ID_GHVQFBAIG2,L134F00765C01S07229Rp28313.jpg,40,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
ID_KCSDH3DLR0,L141F01836C39S12521Rp33709.jpg,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
ID_GACWFWT9SS,L371F01180C01S04116Rp14018.jpg,60,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
ID_KNHY0T7AE5,L133F00573C01S05453Rp14501.jpg,60,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
