x,y,z
3,480,640
3,240,320
3,480,640
3,480,640
3,240,320
3,480,640
3,480,640
3,480,640
3,480,640
3,480,640
3,240,320
3,480,640
3,240,320
3,480,640
3,480,640
3,1872,3952
3,480,640
3,240,320
3,480,640
3,480,640
3,480,640
3,480,640
3,480,640
3,480,640
3,480,640
3,240,320
3,480,640
3,480,640
3,480,640
3,480,640
3,480,640
3,480,640
3,1944,2592
3,240,320
3,1872,3952
3,1872,3952
3,2448,3264
3,240,320
3,480,640
3,480,640
3,240,320
3,480,640
3,480,640
3,240,320
3,240,320
3,480,640
3,1952,4128
3,480,640
3,480,640
3,240,320
3,480,640
3,480,640
3,480,640
3,480,640
3,240,320
3,480,640
3,3120,4160
3,240,320
3,2448,3264
3,480,640
3,240,320
3,240,320
3,480,640
3,3120,4160
3,240,320
3,480,640
3,480,640
3,480,640
3,240,320
3,480,640
3,480,640
3,1944,2592
3,2448,3264
3,240,320
3,240,320
3,480,640
3,480,640
3,480,640
3,240,320
3,480,640
3,480,640
3,480,640
3,240,320
3,240,320
3,480,640
3,480,640
3,480,640
3,1944,2592
3,480,640
3,480,640
3,480,640
3,480,640
3,480,640
3,240,320
3,240,320
3,480,640
3,480,640
3,240,320
3,480,640
3,480,640
3,480,640
3,480,640
3,480,640
3,480,640
3,2448,3264
3,240,320
3,240,320
3,480,640
3,480,640
3,480,640
3,480,640
3,480,640
3,480,640
3,240,320
3,1872,3952
3,480,640
3,480,640
3,480,640
3,240,320
3,240,320
3,480,640
3,240,320
3,240,320
3,2448,3264
3,1872,3952
3,480,640
3,2160,3840
3,480,640
3,2448,3264
3,480,640
3,480,640
3,480,640
3,480,640
3,480,640
3,240,320
3,240,320
3,480,640
3,480,640
3,480,640
3,240,320
3,240,320
3,480,640
3,480,640
3,480,640
3,240,320
3,240,320
3,480,640
3,240,320
3,480,640
3,1872,3952
3,3120,4160
3,240,320
3,240,320
3,480,640
3,480,640
3,480,640
3,2448,3264
3,240,320
3,480,640
3,240,320
3,480,640
3,240,320
3,260,195
3,480,640
3,240,320
3,1872,3952
3,480,640
3,480,640
3,480,640
3,480,640
3,480,640
3,2448,3264
3,480,640
3,480,640
3,480,640
3,480,640
3,480,640
3,2448,3264
3,480,640
3,480,640
3,480,640
3,480,640
3,480,640
3,3120,4160
3,480,640
3,480,640
3,204,153
3,480,640
3,480,640
3,1872,4160
3,480,640
3,480,640
3,480,640
3,480,640
3,153,204
3,1944,2592
3,480,640
3,480,640
3,480,640
3,240,320
3,480,640
3,480,640
3,480,640
3,240,320
3,480,640
3,3120,4160
3,1872,3952
3,240,320
3,240,320
3,480,640
3,192,256
3,480,640
3,480,640
3,3120,4160
3,240,320
3,480,640
3,480,640
3,240,320
3,240,320
3,480,640
3,480,640
3,480,640
3,480,640
3,480,640
3,480,640
3,240,320
3,480,640
3,480,640
3,480,640
3,480,640
3,3120,4160
3,1872,3952
3,480,640
3,240,320
3,153,204
3,240,320
3,480,640
3,1872,3952
3,1944,2592
3,480,640
3,480,640
3,480,640
3,240,320
3,480,640
3,480,640
3,480,640
3,480,640
3,1920,2560
3,240,320
3,2448,3264
3,1872,3952
3,480,640
3,240,320
3,480,640
3,480,640
3,240,320
3,1872,3952
3,480,640
3,480,640
3,240,320
3,480,640
3,480,640
3,480,640
3,204,153
3,480,640
3,480,640
3,3456,4608
3,480,640
3,480,640
3,480,640
3,2448,3264
3,240,320
3,480,640
3,240,320
3,480,640
3,480,640
3,240,320
3,260,195
3,480,640
3,1872,3952
3,240,320
3,480,640
3,153,204
3,480,640
3,480,640
3,480,640
3,480,640
3,480,640
3,240,320
3,240,320
3,480,640
3,2448,3264
3,480,640
3,480,640
3,2448,3264
3,2448,3264
3,480,640
3,1872,3952
3,480,640
3,1872,3952
3,480,640
3,3120,4160
3,480,640
3,480,640
3,480,640
3,240,320
3,480,640
3,480,640
3,480,640
3,480,640
3,480,640
3,480,640
3,480,640
3,480,640
3,480,640
3,480,640
3,480,640
3,240,320
3,240,320
3,480,640
3,480,640
3,3120,4160
3,2448,3264
3,240,320
3,240,320
3,480,640
3,480,640
3,480,640
3,1944,2592
3,480,640
3,240,320
3,480,640
3,480,640
3,480,640
3,480,640
3,480,640
3,240,320
3,480,640
3,240,320
3,1944,2592
3,2448,3264
3,240,320
3,480,640
3,240,320
3,480,640
3,480,640
3,480,640
3,480,640
3,480,640
3,480,640
3,240,320
3,480,640
3,480,640
3,240,320
3,2448,3264
3,1872,3952
3,480,640
3,1872,3952
3,240,320
3,480,640
3,1944,2592
3,480,640
3,1872,3952
3,240,320
3,480,640
3,240,320
3,480,640
3,480,640
3,480,640
